id,Invoice,orderd_by,Amount,mobile,sataus
1,434058,Fanoodle,6745,3717820453,Not Processed
2,113463,Trilia,1638,313115092,return
3,915413,Twitterworks,9177,2688194509,COD
4,326107,Eare,820,8558514807,Not Processed
5,90199,Dynazzy,5950,392882932,Order Confirmed
6,567734,Skipstorm,2087,291419348,return Successfully
7,923900,Realbridge,3485,9096443163,return
8,432840,Quamba,9038,4301297607,Shipped
9,956801,Realcube,3505,5063931613,Dispatch
10,289215,Flipopia,536,6187034887,return Successfully
11,234901,Ntag,8705,4315191342,Not Processed
12,594703,Skynoodle,8884,6052226515,Not Processed
13,669784,Edgeblab,775,1482970717,Cancelled
14,567243,Dynabox,457,5888661604,Not Processed
15,449327,Skyble,4628,4686159063,Dispatch
16,293878,Zoonder,264,6458470588,return Successfully
17,335229,Fivebridge,1880,1547224709,Cancelled
18,76121,Yombu,4897,5578485021,Shipped
19,863513,InnoZ,7501,5160718593,COD
20,524952,Abata,8562,4238152178,Processing
21,690250,Topicstorm,3686,6063575159,Order Confirmed
22,398548,Browsetype,7129,5309772015,return
23,487762,Devify,8927,6762404451,Shipped
24,702115,Babbleblab,4969,9399935424,return
25,295284,Mybuzz,8615,2354939140,Shipped
26,297340,Livefish,8864,5908201411,Cancelled
27,674837,Skiba,3602,6332324496,Not Processed
28,105353,Eayo,2317,246827404,Shipped
29,356046,Wikibox,6072,5865936255,return Successfully
30,162908,Eabox,5713,850866884,Dispatch
31,638223,Buzzster,1207,9875882818,COD
32,339198,Mudo,5847,2191936660,Out Of Delivery
33,821267,Gigashots,5507,6145914841,Dispatch
34,449195,Realbuzz,4624,3226066347,Processing
35,950795,Skipfire,5591,3715288804,Not Processed
36,20149,Oyonder,9703,8245988722,Order Confirmed
37,197048,Rhyloo,3474,9557510603,Order Confirmed
38,958922,Muxo,9974,5824294840,Dispatch
39,219390,Jayo,8951,2577584110,Cancelled
40,692390,Roombo,7662,2288135671,COD
41,814947,Skippad,8929,2530824557,Dispatch
42,158887,Zazio,4503,528039047,return Successfully
43,897593,Tazz,7087,2778158611,COD
44,432177,Jaxworks,3427,345698101,Shipped
45,11438,Yabox,7430,8347049652,Order Confirmed
46,724320,Wikibox,8568,8288831519,Shipped
47,506915,Mynte,1262,2945923157,Shipped
48,268699,Feednation,8674,8813548009,return
49,771213,Quatz,4915,9795103346,Order Confirmed
50,878408,Topdrive,6751,5006154547,return Successfully
51,405014,Meemm,9455,3580417692,Not Processed
52,533460,Meedoo,7442,459852474,Dispatch
53,445807,Tagpad,5595,2076524094,Out Of Delivery
54,669404,Twitterbridge,9110,8594137865,Cancelled
55,821957,Midel,5536,7646164395,Cancelled
56,738292,Tekfly,8727,4675974838,Order Confirmed
57,982045,Skaboo,8890,9869216301,Out Of Delivery
58,591073,Minyx,2026,5052106016,Order Confirmed
59,631215,Trupe,5510,9571608136,COD
60,328705,Eadel,3265,1866035695,COD
61,526924,Twiyo,4714,3625392709,Processing
62,720836,Blogtags,6221,4479517521,Processing
63,846067,Kaymbo,7420,9566854539,Order Confirmed
64,776102,Mynte,4703,1568282382,Cancelled
65,516285,Dabtype,5564,7266911260,return Successfully
66,687097,Innojam,3085,5393237284,Not Processed
67,96039,Kare,9605,4421180126,Processing
68,499561,Layo,141,8962490983,Not Processed
69,363724,Skivee,5913,3789991273,Cancelled
70,981628,Shufflester,7698,1150704282,Cancelled
71,107303,Meevee,338,1046115078,return
72,142190,Eayo,6671,6759179485,Dispatch
73,23100,Zooveo,8605,155026295,Not Processed
74,80403,Blogtags,6132,6142010942,Order Confirmed
75,434481,Tagcat,2586,7150875352,Order Confirmed
76,43641,Voolia,9453,3623372940,Order Confirmed
77,192995,Devshare,6523,2100565617,Not Processed
78,181339,Oyondu,1413,518462530,COD
79,426800,Photofeed,7512,9743760567,COD
80,682922,Dazzlesphere,5908,1259461307,return
81,468377,Eayo,4786,5221400571,COD
82,829416,Topdrive,4630,1677219586,Shipped
83,954764,Meeveo,6330,9415084433,Not Processed
84,636266,Quatz,9302,1525131011,return
85,175115,Divanoodle,2556,5107858574,return
86,459370,Mynte,7951,9906275710,Dispatch
87,116219,Eamia,884,7738041385,return Successfully
88,24356,Jayo,712,544243022,return
89,474353,Katz,4508,890992704,Cancelled
90,830978,Buzzshare,1388,5579630953,return
91,679413,Topicblab,1313,3634089915,return
92,274364,Tavu,1545,9893617165,Processing
93,786721,Eamia,9945,6688958617,return Successfully
94,24648,Voolia,3837,8775122212,Order Confirmed
95,807180,Twitterlist,1663,5477498365,return
96,153734,Vidoo,1958,9746441554,return Successfully
97,903261,Devpoint,9876,1472500325,return
98,716262,Edgeify,4818,476415937,Shipped
99,741142,Chatterbridge,9437,2386180733,Cancelled
100,396384,Skaboo,1732,7455550573,return
